Approved,Gender,Income,CreditScore,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,Debt,DriversLicense,Age,Citizen
1,1,0,1,1,0.538462,1,1.250,1,1,0.000,0,30.83,0
1,0,560,6,1,0.692308,0.25,3.040,1,1,4.460,0,58.67,0
1,0,824,0,1,0.692308,0.25,1.500,1,0,0.500,0,24.50,0
1,1,3,5,1,0.538462,1,3.750,1,1,1.540,1,27.83,0
1,1,0,0,1,0.538462,1,1.710,1,0,5.625,0,20.17,1
1,1,0,0,1,0,1,2.500,1,0,4.000,1,32.08,0
1,0,1349,0,1,0.615385,1,0.040,1,0,11.585,0,22.92,0
1,1,314,0,0,0.384615,0.25,3.960,1,0,0.500,0,54.42,0
1,1,1442,0,0,0.538462,1,3.165,1,0,4.915,1,42.50,0
1,1,0,0,1,0.307692,0.25,2.165,0,0,0.830,1,22.08,0
1,1,200,0,1,0.307692,0.25,4.335,1,0,1.835,0,29.92,0
1,0,0,0,1,0.384615,1,1.000,1,0,6.000,1,38.25,0
1,1,2690,0,1,0.384615,1,0.040,0,0,6.040,0,48.08,0
1,0,0,7,1,0.692308,1,5.000,1,1,10.500,1,45.83,0
1,1,0,3,1,0,1,0.960,1,1,0.875,1,28.25,0
1,0,245,10,1,0.692308,1,3.170,1,1,5.875,0,23.25,0
1,1,0,0,1,0.769231,0.25,0.665,1,0,0.250,1,21.83,0
1,1,1208,17,1,0.307692,1,2.500,1,1,11.250,0,25.00,0
1,1,0,0,1,0.307692,1,0.835,1,0,1.000,0,23.25,1
1,0,1260,6,1,0.307692,1,7.875,1,1,8.000,1,47.75,0
1,0,0,3,1,0.692308,1,0.500,1,1,6.500,1,41.17,0
1,0,0,2,1,0.307692,0.25,1.500,1,1,0.585,0,15.83,0
1,0,0,9,1,0.0769231,0,5.165,1,1,13.000,1,47.00,0
1,1,0,3,1,0.230769,0.25,7.000,1,1,8.500,0,57.42,0
1,1,0,5,1,0.153846,1,5.040,1,1,14.790,1,29.25,0
1,1,0,8,1,1,0.25,7.960,1,1,9.790,0,42.00,0
1,1,5000,15,1,0.0769231,0,7.585,1,1,7.585,1,49.50,0
1,0,4000,0,1,0.230769,1,5.000,1,0,5.125,1,36.75,0
1,0,560,5,1,0.692308,1,0.415,1,1,10.750,1,22.58,0
1,1,35,11,1,0.538462,1,2.000,1,1,1.500,1,27.83,0
1,1,713,12,1,0.615385,0.25,1.835,1,1,1.585,1,27.25,0
1,0,551,2,1,1,0.25,0.500,1,1,11.750,1,23.00,0
1,1,500,2,0,0.615385,1,0.250,1,1,0.585,0,27.75,0
1,1,300,11,1,0.461538,0.5,14.415,1,1,9.415,1,54.58,0
1,1,221,12,1,0.307692,1,4.500,1,1,9.170,1,34.17,0
1,1,2283,11,1,0.307692,0.25,5.335,1,1,15.000,0,28.92,0
1,1,100,1,1,0.538462,0.25,0.750,1,1,1.415,0,29.67,0
1,1,0,6,1,0.538462,1,8.625,1,1,13.915,1,39.58,0
1,1,284,11,1,0.307692,0.25,2.625,1,1,6.750,1,54.33,0
1,0,1236,23,0,0.692308,0.25,0.125,1,1,2.040,1,41.00,0
1,1,300,3,1,0.615385,0.25,6.040,1,1,4.460,0,31.92,0
1,1,0,0,1,0.0769231,0,3.500,0,0,1.540,0,41.50,0
1,1,0,0,1,0.307692,1,0.165,0,0,0.665,0,23.92,0
1,0,0,0,1,0.307692,0.25,0.875,1,0,0.500,1,25.75,0
1,1,0,0,1,0.692308,1,1.750,1,0,1.000,1,26.00,0
1,1,5800,0,1,0.538462,1,0.040,1,0,2.040,1,37.42,0
1,1,200,0,1,0.538462,1,0.000,1,0,2.500,1,34.92,0
1,1,0,0,1,0.615385,0.25,7.415,1,0,3.000,1,34.25,0
1,1,300,0,0,0.538462,1,0.835,1,0,11.625,1,23.33,0
1,1,0,0,1,0.615385,1,0.085,1,0,0.000,0,23.17,0
1,1,0,0,1,0.0769231,0.25,5.000,1,0,0.500,1,44.33,0
1,1,0,0,1,1,0.25,5.750,0,0,4.500,1,35.17,1
1,1,0,11,1,0.692308,0.25,6.000,1,1,3.000,0,43.25,0
1,1,0,4,1,0,1,1.250,1,1,12.250,1,56.75,0
1,1,730,9,1,0.769231,1,3.000,1,1,16.165,0,31.67,0
1,0,400,2,0,0.692308,1,1.500,1,1,0.790,1,23.42,0
1,0,0,1,1,0.692308,1,1.585,1,1,0.835,0,20.42,0
1,1,0,1,1,0.615385,1,4.290,1,1,4.250,1,26.67,0
1,0,456,11,1,0.307692,1,2.000,1,1,1.000,0,36.00,0
1,1,2954,7,1,0.538462,0.25,1.460,1,1,6.500,0,19.42,0
1,1,500,1,1,1,0.25,1.625,1,1,25.125,1,35.17,0
0,1,0,0,1,0.230769,0,1.585,1,0,7.500,1,32.33,1
0,1,0,0,1,0.769231,0,12.500,1,0,4.000,1,34.83,0
0,0,0,0,1,0.615385,1,13.500,1,0,5.000,1,38.58,0
0,1,0,0,1,0,1,10.750,1,0,0.500,0,44.25,1
0,1,2,0,0,0.307692,1,1.625,0,0,7.000,0,44.83,0
0,1,0,1,1,0.692308,1,0.375,1,1,5.290,0,20.67,0
0,1,0,0,1,0.153846,1,0.125,1,0,6.500,1,34.08,0
0,0,0,0,0,0.153846,1,0.585,1,0,0.585,1,19.17,0
0,1,20,1,0,0.384615,1,2.500,1,1,1.165,0,21.67,0
0,1,0,0,1,0.307692,1,0.250,1,0,9.750,0,21.50,0
0,1,0,1,1,0.461538,0.5,0.000,1,1,19.000,0,49.58,0
0,0,0,0,1,0,1,2.000,1,0,1.500,0,27.67,1
0,1,0,0,1,0,1,0.250,1,0,0.500,0,39.83,1
0,0,0,0,1,0.769231,1,3.000,1,0,3.500,1,28.46,0
0,1,0,0,1,0.153846,1,0.455,1,0,0.625,1,27.25,0
0,1,0,0,1,0.307692,0,5.000,1,0,4.000,1,37.17,1
0,1,0,0,1,0.769231,1,0.875,1,0,0.375,1,28.46,1
0,1,0,0,0,0.153846,1,4.000,1,0,2.210,0,25.67,0
0,1,0,0,1,0.153846,1,1.000,1,0,4.500,1,34.00,0
0,1,0,0,0,0.307692,0.25,5.000,1,0,12.750,0,62.50,0
0,1,0,0,1,0.307692,1,0.500,1,0,15.500,0,31.42,0
